"filename","length_along_fiber_m","temp_C","elevation_WGS84_m","depth_m","slope","file.path.length","channel","year","month","day","hour","minutes","seconds","full.datetime","datetime","subchannel","direction"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1279.64","14.32","272.09","15.57","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1279.89","14.32","271.84","15.82","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1280.15","14.28","271.58","16.08","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1280.4","14.22","271.33","16.33","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1280.65","14.17","271.08","16.58","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1280.91","14.12","270.82","16.84","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1281.16","14.05","270.57","17.09","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1281.42","13.98","270.31","17.35","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1281.67","13.94","270.06","17.6","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1281.93","13.92","269.8","17.86","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1282.18","13.91","269.55","18.11","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
"channel 1/geothermal-config-2019-05-15_channel_1_CSV_files_2021-03-12_to_2021-07-12/all_channel 1_20210615120657698.csv","1282.43","13.84","269.3","18.36","-1","119","channel 1","2021","6","15","12","6","57","2021615126","1623758817","s3","descending"
